id,name,size_category,size,city_sale,year,cost_category,end_cost,fair_cost,is_published
1,No regrets,3,60 × 60 см,2022,Россия,Санкт-Петербург,Акрил,Холст,"Картина представляет собой уникальное произведение искусства, вдохновлённое местными сказками и баснями.",1,30000,30000
2,Untitled,3,40 × 80 см,2024,Россия,Москва,Масло,Холст,"Абстрактная картина с чёткими графическими линиями. Контраст голубых оттенков и чёрного цвета создаёт эффектный образ.",1,40000,45000
3,Blue and Golden Cups,3,40 × 50 см,2022,Россия,Санкт-Петербург,Масло,Холст,"Картины Ольги Антоновой не соответствуют традиционным принципам классического натюрморта. Эта работа представляет собой изображение предметов домашнего обихода.",1,50000,50000
4,Jump,3,30 × 50 см,2023,Россия,Москва,Акрил,Холст,"Яркие рисунки и картины художника представляют собой изображения человеческих фигур.",1,30000,30000
5,Curtain,3,30 × 50 см,2024,Россия,Санкт-Петербург,Масло,Холст,"Живописная работа с изображением девушки в резиновых сапогах.",1,15000,15000
6,Reliquary,4,60 × 100 см,2022,Россия,Москва,Акрил,Холст,"На картине, написанной широкими мазками с применением техники наложения, изображён сосуд.",1,10000,9000
7,Still Life Citrus,3,40 × 50 см,2023,Россия,Санкт-Петербург,Масло,Холст,"Натюрморт с яркими лимонами. Контраст жёлтого и голубого делает его особенно привлекательным.",1,20000,17000
8,Untitled,3,40 × 40 см	2024,Россия,Москва,Акрил,Холст,"Натюрморт с плавными переходами цветов создаёт впечатление размытого фокуса.",1,20000,18000
9,Сегодня в городе,3,70 × 50 см	2022,Россия,Санкт-Петербург,Масло,Холст,"Картина, вдохновлённая горизонтами мегаполисов, выполнена с использованием мастихина и широких мазков.",1,50000,60000
10,Diver and Two Blue Angels,3,40 × 50 см,2023,Россия,Москва,Акрил,Холст,"Абстрактная картина, написанная широкими мазками.",1,40000,43000
11,Рассвет,3,40 × 40 см	2022,Россия,Санкт-Петербург,Масло,Холст,"Абстрактная картина, написанная широкими мазками.",1,25000,25000
12,Inspired,2,20 × 30 см,2024,Россия,Москва,Акрил,Холст,"Абстрактный портрет, выполненный широкими мазками.",1,20000,19000
13,Textures,4,300 × 50 см,2024,Россия,Санкт-Петербург,Масло,Холст,"Комбинация фигуративности и абстракции. Простая композиция, акцентированная светом и тенью.",1,20000,20000
14,Motus,3,50 × 50 см,2022,Россия,Москва,Акрил,Холст,"Девушки в ярких платьях парят в воздухе.",1,25000,25000
15,LAB-P,3,40 × 50 см,2023,Россия,Санкт-Петербург,Масло,Холст,"Сочетание архитектурных элементов и геометрических форм.",1,30000,30000
16,Santa Monica,3,70 × 50 см,2023,Россия,Москва,Акрил,Холст,"Мистические моменты между днём и ночью. Картина поражает воображение.",1,25000,25000
17,Untitled,3,40 × 50 см,2022,Россия,Санкт-Петербург,Масло,Холст,"Эффект наложения создаёт картину, где силуэты людей едва различимы.",1,25000,24000
18,Chairs,3,40 × 40 см,2023,Россия,Москва,Акрил,Холст,"Картина из коллекции работ со стульями. Движение и динамика.",1,20000,19000
19,Home,3,40 × 70 см,2022,Россия,Санкт-Петербург,Масло,Холст,"Картина представляет собой сложную композицию из людей и лестниц, которая заставляет задуматься.",1,25000,24000
20,Sundown,3,40 × 50 см,2022,Россия,Москва,Акрил,Холст,"Картина, вдохновлённая городскими пейзажами в лучах закатного солнца.",1,25000,25000
21,Лестница,3,40.6 × 40.6 см,2021,Россия,Москва,Акрил,Холст,"Работа посвящена моей малой Родине и ее уникальной природе.",3,75000,75000
